stimulus	source_url	start	duration_s	recovery_method	crop_x0	crop_y0	crop_x1	crop_y1	crop_quality	out_width	out_height	regenerable	verified	robust_ncc	youtube_available	run
1U9n2Z68-A0_000028.mp4	https://www.youtube.com/watch?v=1U9n2Z68-A0	27.967	4.967	manualclip_parity	0.1732	0.0001	0.7753	0.6022	parity	854	480	yes	parity	0.9984	no	7
1U9n2Z68-A0_000049.mp4	https://www.youtube.com/watch?v=1U9n2Z68-A0	49.000	4.967	registered_parity	0.1657	0.0	0.7577	0.5914	parity	854	480	yes	parity	0.9932	no	4
1U9n2Z68-A0_000110.mp4	https://www.youtube.com/watch?v=1U9n2Z68-A0	70.004	4.967	tmatch_hard	0.1625	0.1877	0.6125	0.637	parity	854	480	yes	parity	0.9909	no	8
1U9n2Z68-A0_000130.mp4	https://www.youtube.com/watch?v=1U9n2Z68-A0	90.000	4.967	registered_parity	0.0677	0.0	0.7188	0.651	close	854	480	yes	close	0.9857	no	7
1U9n2Z68-A0_000140.mp4	https://www.youtube.com/watch?v=1U9n2Z68-A0	99.967	4.967	manualclip_parity	0.116	0.0322	0.7363	0.6524	parity	854	480	yes	parity	0.9927	no	6
33D3NOI0-ag_000018.mp4	https://www.youtube.com/watch?v=33D3NOl0-ag	17.967	4.967	wholeframe_scan	0.164	0.0722	0.7041	0.6157	parity	854	480	yes	parity	0.9935	yes	2
33D3NOI0-ag_000047.mp4	https://www.youtube.com/watch?v=33D3NOl0-ag	46.967	4.967	registered_parity	0.077	0.0301	0.6866	0.6403	parity	854	480	yes	parity	0.9948	yes	2
33D3NOI0-ag_000109.mp4	https://www.youtube.com/watch?v=33D3NOl0-ag	69.000	4.967	registered_parity	0.075	0.0001	0.7514	0.6754	parity	854	480	yes	parity	0.9987	yes	5
33IFuF2HAss_000237.mp4	https://www.youtube.com/watch?v=33IFuF2HAss	156.992	5.0	tmatch_scan	0.1594	0.0	0.7188	0.5583	parity	854	480	yes	parity	0.9961	yes	3
33IFuF2HAss_000259.mp4	https://www.youtube.com/watch?v=33IFuF2HAss	178.979	5.0	tmatch_hard	0.1681	0.0049	0.7083	0.5457	unverified	854	480	yes	close	0.9649	yes	6
33IFuF2HAss_000412.mp4	https://www.youtube.com/watch?v=33IFuF2HAss	251.985	5.0	tmatch_scan	0.0047	0.0944	0.525	0.6139	close	854	480	yes	close	0.9605	yes	10
4GIS2Gg22ko_000106.mp4	https://www.youtube.com/watch?v=4GIS2Gg22ko	65.966	4.967	tmatch_scan	0.2156	0.0583	0.7359	0.5778	parity	854	480	yes	parity	0.9796	yes	11
4GIS2Gg22ko_000118.mp4	https://www.youtube.com/watch?v=4GIS2Gg22ko	78.000	4.967	registered_parity	0.213	0.0	0.8167	0.6034	close	854	480	yes	close	0.9879	yes	8
4GIS2Gg22ko_000131.mp4	https://www.youtube.com/watch?v=4GIS2Gg22ko	90.967	4.967	registered_parity	0.1648	0.0	0.8104	0.647	close	854	480	yes	close	0.9730	yes	1
4GIS2Gg22ko_000229.mp4	https://www.youtube.com/watch?v=4GIS2Gg22ko	148.967	4.967	registered_parity	0.2071	0.0005	0.8484	0.6412	parity	854	480	yes	parity	0.9813	yes	6
4GIS2Gg22ko_000254.mp4	https://www.youtube.com/watch?v=4GIS2Gg22ko	174.000	4.967	registered_parity	0.1578	0.0448	0.6135	0.5002	parity	854	480	yes	parity	0.9909	yes	6
7-qXa10_hXA_000052.mp4	https://www.youtube.com/watch?v=7-qXa10_hXA	51.967	5.0	registered_parity	0.1715	0.051	0.6424	0.5222	parity	854	480	yes	parity	0.9838	yes	6
7-qXa10_hXA_000113.mp4	https://www.youtube.com/watch?v=7-qXa10_hXA	73.000	5.0	registered_parity	0.0	0.0483	0.5419	0.5912	parity	854	480	yes	parity	0.9859	yes	4
7-qXa10_hXA_000134.mp4	https://www.youtube.com/watch?v=7-qXa10_hXA	93.967	5.0	manualclip_parity	0.0834	0.0467	0.6158	0.5841	parity	854	480	yes	parity	0.9860	yes	3
7TL5QRcadM8_000154.mp4	https://www.youtube.com/watch?v=7TL5QRcadM8	113.982	4.967	tmatch_scan	0.2	0.0056	0.7203	0.525	unverified	854	480	yes	close	0.9402	yes	6
7TL5QRcadM8_000221.mp4	https://www.youtube.com/watch?v=7TL5QRcadM8	141.000	4.967	registered_parity	0.2005	0.0001	0.79	0.5893	parity	854	480	yes	parity	0.9872	yes	0
7TL5QRcadM8_000301.mp4	https://www.youtube.com/watch?v=7TL5QRcadM8	181.000	4.967	registered_parity	0.1583	0.0003	0.7597	0.5976	close	854	480	yes	close	0.9890	yes	9
7TL5QRcadM8_000308.mp4	https://www.youtube.com/watch?v=7TL5QRcadM8	188.000	4.967	registered_parity	0.3224	0.0762	0.854	0.6083	close	854	480	yes	close	0.9826	yes	2
7cWnGQ9t40Y_000048.mp4		0:00:48	4.967	UNRECOVERABLE	0	0	1	1	full-frame (not cropped)	854	480	no	source_unavailable		no	9
7cWnGQ9t40Y_000113.mp4		0:01:13	4.967	UNRECOVERABLE	0	0	1	1	full-frame (not cropped)	854	480	no	source_unavailable		no	6
7cWnGQ9t40Y_000129.mp4		0:01:29	4.967	UNRECOVERABLE	0	0	1	1	full-frame (not cropped)	854	480	no	source_unavailable		no	2
7cWnGQ9t40Y_000136.mp4		0:01:36	4.967	UNRECOVERABLE	0	0	1	1	full-frame (not cropped)	854	480	no	source_unavailable		no	7
7cWnGQ9t40Y_000148.mp4		0:01:48	4.967	UNRECOVERABLE	0	0	1	1	full-frame (not cropped)	854	480	no	source_unavailable		no	5
7cWnGQ9t40Y_000154.mp4		0:01:54	4.967	UNRECOVERABLE	0	0	1	1	full-frame (not cropped)	854	480	no	source_unavailable		no	4
7cWnGQ9t40Y_000213.mp4		0:02:13	4.967	UNRECOVERABLE	0	0	1	1	full-frame (not cropped)	854	480	no	source_unavailable		no	10
8vuRTBwgMSE_000112.mp4	https://www.youtube.com/watch?v=8vuRTBwgMSE	72.000	4.967	registered_parity	0.1837	0.0	0.7966	0.6133	close	854	480	yes	close	0.9836	yes	1
8vuRTBwgMSE_000142.mp4	https://www.youtube.com/watch?v=8vuRTBwgMSE	102.000	4.967	registered_parity	0.0	0.0	0.5783	0.5782	parity	854	480	yes	parity	0.9969	yes	8
8vuRTBwgMSE_000154.mp4	https://www.youtube.com/watch?v=8vuRTBwgMSE	114.000	4.967	registered_parity	0.0904	0.0001	0.6729	0.5809	parity	854	480	yes	parity	0.9896	yes	5
